Aeroporto,Categoria,Origine,Valore,Anno
LICD,merci e posta,nazionale,18.0,2019
LICD,passeggeri,internazionale,0.0,2019
LICD,passeggeri,nazionale,378218.0,2019
LICD,voli commerciali,internazionale,0.0,2019
LICD,voli commerciali,nazionale,4957.0,2019
LIRJ,merci e posta,internazionale,0.0,2019
LIRJ,merci e posta,nazionale,0.0,2019
LIRJ,passeggeri,internazionale,1766.0,2019
LIRJ,passeggeri,nazionale,103.0,2019
LIRJ,voli commerciali,internazionale,116.0,2019
LIRJ,voli commerciali,nazionale,3.0,2019
LIML,merci e posta,internazionale,6885.0,2019
LIML,merci e posta,nazionale,1880.0,2019
LIML,passeggeri,internazionale,4171245.0,2019
LIML,passeggeri,nazionale,6663012.0,2019
LIML,voli commerciali,internazionale,49760.0,2019
LIML,voli commerciali,nazionale,70139.0,2019
LIMC,merci e posta,internazionale,648866.0,2019
LIMC,merci e posta,nazionale,1549.0,2019
LIMC,passeggeri,internazionale,25584695.0,2019
LIMC,passeggeri,nazionale,7916472.0,2019
LIMC,voli commerciali,internazionale,205021.0,2019
LIMC,voli commerciali,nazionale,69562.0,2019
LIRN,merci e posta,internazionale,965.0,2019
LIRN,merci e posta,nazionale,10358.0,2019
LIRN,passeggeri,internazionale,7529359.0,2019
LIRN,passeggeri,nazionale,4260729.0,2019
LIRN,voli commerciali,internazionale,51444.0,2019
LIRN,voli commerciali,nazionale,37172.0,2019
LIEO,merci e posta,internazionale,7.0,2019
LIEO,merci e posta,nazionale,166.0,2019
LIEO,passeggeri,internazionale,1544506.0,2019
LIEO,passeggeri,nazionale,2165329.0,2019
LIEO,voli commerciali,internazionale,11184.0,2019
LIEO,voli commerciali,nazionale,17991.0,2019
LICJ,merci e posta,internazionale,4.0,2019
LICJ,merci e posta,nazionale,2287.0,2019
LICJ,passeggeri,internazionale,1993364.0,2019
LICJ,passeggeri,nazionale,6399542.0,2019
LICJ,voli commerciali,internazionale,13894.0,2019
LICJ,voli commerciali,nazionale,49624.0,2019
LICG,merci e posta,internazionale,0.0,2019
LICG,merci e posta,nazionale,27.0,2019
LICG,passeggeri,internazionale,8.0,2019
LICG,passeggeri,nazionale,190776.0,2019
LICG,voli commerciali,internazionale,2.0,2019
LICG,voli commerciali,nazionale,3910.0,2019
LIMP,merci e posta,internazionale,0.0,2019
LIMP,merci e posta,nazionale,0.0,2019
LIMP,passeggeri,internazionale,29116.0,2019
LIMP,passeggeri,nazionale,43760.0,2019
LIMP,voli commerciali,internazionale,244.0,2019
LIMP,voli commerciali,nazionale,279.0,2019
LIRZ,merci e posta,internazionale,0.0,2019
LIRZ,merci e posta,nazionale,0.0,2019
LIRZ,passeggeri,internazionale,163981.0,2019
LIRZ,passeggeri,nazionale,58914.0,2019
LIRZ,voli commerciali,internazionale,1064.0,2019
LIRZ,voli commerciali,nazionale,552.0,2019
LIBP,merci e posta,internazionale,33.0,2019
LIBP,merci e posta,nazionale,234.0,2019
LIBP,passeggeri,internazionale,393228.0,2019
LIBP,passeggeri,nazionale,362892.0,2019
LIBP,voli commerciali,internazionale,2402.0,2019
LIBP,voli commerciali,nazionale,3642.0,2019
LIRP,merci e posta,internazionale,8762.0,2019
LIRP,merci e posta,nazionale,3888.0,2019
LIRP,passeggeri,internazionale,4134100.0,2019
LIRP,passeggeri,nazionale,1586634.0,2019
LIRP,voli commerciali,internazionale,28942.0,2019
LIRP,voli commerciali,nazionale,13202.0,2019
LICR,merci e posta,internazionale,0.0,2019
LICR,merci e posta,nazionale,52.0,2019
LICR,passeggeri,internazionale,125.0,2019
LICR,passeggeri,nazionale,723000.0,2019
LICR,voli commerciali,internazionale,4.0,2019
LICR,voli commerciali,nazionale,6630.0,2019
LIPR,merci e posta,internazionale,4.0,2019
LIPR,merci e posta,nazionale,0.0,2019
LIPR,passeggeri,internazionale,396638.0,2019
LIPR,passeggeri,nazionale,88.0,2019
LIPR,voli commerciali,internazionale,2566.0,2019
LIPR,voli commerciali,nazionale,30.0,2019
LIRA,merci e posta,internazionale,18000.0,2019
LIRA,merci e posta,nazionale,75.0,2019
LIRA,passeggeri,internazionale,5667739.0,2019
LIRA,passeggeri,nazionale,184284.0,2019
LIRA,voli commerciali,internazionale,33900.0,2019
LIRA,voli commerciali,nazionale,1470.0,2019
LIRF,merci e posta,internazionale,244507.0,2019
LIRF,merci e posta,nazionale,11793.0,2019
LIRF,passeggeri,internazionale,41144073.0,2019
LIRF,passeggeri,nazionale,20025272.0,2019
LIRF,voli commerciali,internazionale,274935.0,2019
LIRF,voli commerciali,nazionale,182742.0,2019
LIBG,merci e posta,internazionale,8506.0,2019
LIBG,merci e posta,nazionale,0.0,2019
LIBG,passeggeri,internazionale,603.0,2019
LIBG,passeggeri,nazionale,0.0,2019
LIBG,voli commerciali,internazionale,256.0,2019
LIBG,voli commerciali,nazionale,0.0,2019
LIMF,merci e posta,internazionale,117.0,2019
LIMF,merci e posta,nazionale,171.0,2019
LIMF,passeggeri,internazionale,2397052.0,2019
LIMF,passeggeri,nazionale,2430333.0,2019
LIMF,voli commerciali,internazionale,24884.0,2019
LIMF,voli commerciali,nazionale,19421.0,2019
LICT,merci e posta,internazionale,1.0,2019
LICT,merci e posta,nazionale,11.0,2019
LICT,passeggeri,internazionale,80941.0,2019
LICT,passeggeri,nazionale,452501.0,2019
LICT,voli commerciali,internazionale,584.0,2019
LICT,voli commerciali,nazionale,5328.0,2019
LIPH,merci e posta,internazionale,0.0,2019
LIPH,merci e posta,nazionale,0.0,2019
LIPH,passeggeri,internazionale,2153792.0,2019
LIPH,passeggeri,nazionale,1093815.0,2019
LIPH,voli commerciali,internazionale,12676.0,2019
LIPH,voli commerciali,nazionale,6349.0,2019
LIPQ,merci e posta,internazionale,36.0,2019
LIPQ,merci e posta,nazionale,62.0,2019
LIPQ,passeggeri,internazionale,346446.0,2019
LIPQ,passeggeri,nazionale,742033.0,2019
LIPQ,voli commerciali,internazionale,3863.0,2019
LIPQ,voli commerciali,nazionale,8425.0,2019
LIPZ,merci e posta,internazionale,49943.0,2019
LIPZ,merci e posta,nazionale,2124.0,2019
LIPZ,passeggeri,internazionale,10304680.0,2019
LIPZ,passeggeri,nazionale,2032143.0,2019
LIPZ,voli commerciali,internazionale,79488.0,2019
LIPZ,voli commerciali,nazionale,17499.0,2019
LIPX,merci e posta,internazionale,675.0,2019
LIPX,merci e posta,nazionale,16.0,2019
LIPX,passeggeri,internazionale,3134963.0,2019
LIPX,passeggeri,nazionale,1665069.0,2019
LIPX,voli commerciali,internazionale,26507.0,2019
LIPX,voli commerciali,nazionale,15331.0,2019
LIMW,passeggeri,internazionale,0.0,2019
LIMW,passeggeri,nazionale,0.0,2019
LIMW,merci e posta,internazionale,0.0,2019
LIMW,merci e posta,nazionale,0.0,2019
LIMW,voli commerciali,internazionale,0.0,2019
LIMW,voli commerciali,nazionale,0.0,2019
LIRI,passeggeri,internazionale,0.0,2019
LIRI,passeggeri,nazionale,0.0,2019
LIRI,merci e posta,internazionale,0.0,2019
LIRI,merci e posta,nazionale,0.0,2019
LIRI,voli commerciali,internazionale,0.0,2019
LIRI,voli commerciali,nazionale,0.0,2019
LIMG,passeggeri,internazionale,0.0,2019
LIMG,passeggeri,nazionale,0.0,2019
LIMG,merci e posta,internazionale,0.0,2019
LIMG,merci e posta,nazionale,0.0,2019
LIMG,voli commerciali,internazionale,0.0,2019
LIMG,voli commerciali,nazionale,0.0,2019
